Code,Name,Type,Province,District,Seat,Area,Population,PopulationDensity,ElectricityAccess_Percentage,ElectricityAccess_Households,EnergyCharge_Industry,EnergyCharge_Commercial,Total_MWh,Manufacturing_Customers,Manufacturing_MWh,Commercial_Customers,Commercial_MWh,AveragePV_YieldStellenbosch
NW401,Ventersdorp,Local,North West,Dr Kenneth Kaunda,Ventersdorp,3764,56702,15.1,76.1,11094,85.22,119,33400,,,452,10080,1868
NW402,Tlokwe,Local,North West,Dr Kenneth Kaunda,Potchefstroom,2674,162762,60.9,90.5,47583,106.02,120,374411,65,74233,234,36655,1853
NW403,City of Matlosana,Local,North West,Dr Kenneth Kaunda,Klerksdorp,3561,398676,112,90.3,108763,68.55,121,453085,216,1904,2954,25916,1867
NW404,Maquassi Hills,Local,North West,Dr Kenneth Kaunda,Wolmaransstad,4643,77794,16.8,82.8,16990,59.73,94.08,30920,,,,,1894
TSH,City of Tshwane,Metropolitan,Gauteng,,Pretoria,6345,2921488,460.4,88.6,807291,44.25,99.5,8471650,1038,3864935,8080,1253145,1816
WC011,Matzikama,Local,Western Cape,West Coast,Vredendal,12981,67147,5.2,88.7,16709,164.92,116,57896,549,1500,,,2018
WC012,Cederberg,Local,Western Cape,West Coast,Clanwilliam,8007,49768,6.2,88.8,11996,51,111,46535,,,323,19665,1845
WC013,Bergrivier,Local,Western Cape,West Coast,Piketberg,4407,61897,14,94.9,15449,68,98,59210,,,,,1824
WC014,Saldanha Bay,Local,Western Cape,West Coast,Vredenburg,2015,99193,49.2,97,27945,46,85,187286,925,94107,,,1766
WC015,Swartland,Local,Western Cape,West Coast,Malmesbury,3707,113762,30.7,97.8,28661,38.63,101.17,141169,90,62664,939,15856,1777
WC022,Witzenberg,Local,Western Cape,Cape Winelands,Ceres,10753,115946,10.8,93.4,25586,55.2,91,130143,61,68948,408,12784,1859
WC023,Drakenstein,Local,Western Cape,Cape Winelands,Paarl,1538,251262,163.4,95,56742,62.5,91.73,653235,237,274757,3434,44845,1597
WC024,Stellenbosch,Local,Western Cape,Cape Winelands,Stellenbosch,831,155733,187.4,92.9,40327,54,125,348801,40,124399,1622,87716,1716
WC025,Breede Valley,Local,Western Cape,Cape Winelands,Worcester,3833,166825,43.5,88.3,37524,71.5,99.12,264105,,,1405,153245,1921
WC026,Langeberg,Local,Western Cape,Cape Winelands,Ashton,4518,97724,21.6,94.2,23658,,,74167,,,170,1025,1853
WC031,Theewaterskloof,Local,Western Cape,Overberg,Caledon,3232,108790,33.7,89,25699,61.78,102.62,51442,35,14953,371,10387,1615
WC032,Overstrand,Local,Western Cape,Overberg,Hermanus,1708,80432,47.1,90.4,25303,53.85,,164464,,,1193,52410,1613
WC033,Cape Agulhas,Local,Western Cape,Overberg,Bredasdorp,3467,33038,9.5,96.7,9820,40.56,79.86,52500,28,12000,377,8700,1610
WC034,Swellendam,Local,Western Cape,Overberg,Swellendam,3835,35916,9.4,94,9527,58.6,116,86965,35,,345,,1829
WC041,Kannaland,Local,Western Cape,Eden,Ladismith,4758,24767,5.2,89.7,5569,110.85,106.82,22732,19,8639,104,2857,1748
WC042,Hessequa,Local,Western Cape,Eden,Riversdale,5733,52642,9.2,94.9,15058,51.7,78.25,,,,,,1683
WC043,Mossel Bay,Local,Western Cape,Eden,Mossel Bay,2011,89430,44.5,93.8,26275,50,70,230479,145,83966,1150,22926,1681
WC044,George,Local,Western Cape,Eden,George,5191,193672,37.3,91,48713,49,59.96,206944,1556,154641,,,1812
WC045,Oudtshoorn,Local,Western Cape,Eden,Oudtshoorn,3537,95933,27.1,85.3,18672,51,94,148266,1,9560,428,45283,1824
WC047,Bitou,Local,Western Cape,Eden,Plettenberg Bay,992,49162,49.6,94,15647,39.5,85,81159,,,463,39640,1638
WC048,Knysna,Local,Western Cape,Eden,Knysna,1109,68659,61.9,88.8,19439,45.08,113,163174,,,1194,65918,1575
WC051,Laingsburg,Local,Western Cape,Central Karoo,Laingsburg,8784,8289,0.9,79.4,1909,95.94,95.94,6612,,,33,2273,1913
WC052,Prince Albert,Local,Western Cape,Central Karoo,Prince Albert,8153,13136,1.6,86.4,3093,45,67.17,81159,,,463,39640,1871
WC053,Beaufort West,Local,Western Cape,Central Karoo,Beaufort West,21917,49586,2.3,92,12044,,,31712,39,8035,317,323,1981
